Age,PreviousPurchases,TrafficSource,TimeOnSite,CartValue,ViewedReviews,PagesVisited,Device,AddedToCart,Converted
56,4,Ads,7.72,64.27,0,8,Tablet,1,0
19,2,Email,8.07,94.33,0,16,Desktop,0,0
61,2,Email,4.55,142.54,0,4,Tablet,1,1
26,0,Organic,5.75,73.3,1,12,Desktop,1,0
31,3,Email,8.97,36.39,0,18,Desktop,1,1
53,2,Organic,4.97,25.0,0,13,Desktop,0,1
18,0,Email,2.37,37.99,0,11,Tablet,0,1
52,2,Ads,3.48,185.98,0,5,Tablet,1,1
44,5,Ads,6.16,139.97,1,19,Mobile,0,1
49,3,Ads,12.87,169.42,1,10,Desktop,1,1
23,2,Email,6.97,165.05,0,7,Desktop,1,0
44,3,Email,1.0,140.73,0,19,Desktop,0,0
49,5,Social Media,2.24,118.41,0,17,Tablet,0,1
45,1,Email,7.42,138.09,0,12,Mobile,1,1
21,1,Social Media,10.18,82.86,1,2,Desktop,1,1
33,3,Organic,13.12,172.42,0,3,Desktop,1,0
24,2,Social Media,5.65,100.68,1,10,Desktop,0,1
43,7,Social Media,10.89,56.11,1,1,Desktop,1,0
25,6,Ads,7.57,5.0,1,9,Mobile,0,0
31,6,Email,3.89,73.69,0,6,Tablet,1,1
25,5,Organic,5.11,178.63,0,17,Tablet,0,1
47,3,Email,7.63,164.42,1,3,Tablet,1,0
38,2,Organic,3.98,22.7,1,3,Mobile,1,0
49,3,Ads,10.65,93.04,0,16,Desktop,1,0
43,8,Organic,7.05,165.54,0,2,Tablet,1,1
42,4,Social Media,2.03,145.56,1,12,Desktop,1,1
23,1,Email,14.43,158.04,1,13,Desktop,1,1
36,3,Organic,9.51,171.95,1,1,Desktop,1,0
42,5,Ads,3.44,90.95,0,5,Desktop,0,0
45,0,Email,7.29,232.32,0,16,Tablet,1,0
47,1,Social Media,8.01,165.36,1,13,Tablet,0,0
19,0,Email,9.94,127.57,1,18,Desktop,1,0
60,5,Email,8.84,82.64,0,8,Desktop,1,1
51,3,Organic,9.35,115.28,1,5,Tablet,1,1
52,3,Social Media,12.66,93.63,1,9,Desktop,1,1
37,4,Social Media,8.97,112.19,1,19,Mobile,1,0
22,3,Email,9.87,157.7,0,10,Tablet,1,1
22,8,Social Media,6.48,38.59,1,2,Tablet,0,0
36,6,Email,7.51,231.65,0,7,Mobile,1,1
56,2,Email,12.77,148.3,1,9,Mobile,1,1
45,4,Email,8.21,179.01,1,5,Mobile,0,1
35,1,Email,5.31,211.55,1,11,Desktop,0,1
25,1,Social Media,5.04,90.53,1,8,Tablet,1,1
45,2,Ads,13.18,30.44,0,13,Desktop,1,1
35,3,Organic,8.43,182.23,0,1,Tablet,1,1
64,2,Email,7.66,194.27,1,1,Mobile,0,0
45,8,Social Media,3.89,152.13,1,2,Desktop,1,0
43,4,Organic,9.24,200.53,1,15,Tablet,1,1
28,1,Social Media,2.81,206.66,1,2,Tablet,1,1
41,5,Ads,9.38,155.17,0,5,Mobile,1,1
30,2,Ads,1.48,241.93,1,11,Mobile,0,1
57,6,Email,6.49,182.72,0,6,Tablet,0,0
43,2,Organic,6.12,103.58,1,15,Desktop,1,0
34,3,Ads,6.36,46.32,1,14,Tablet,1,1
31,1,Ads,10.6,148.26,1,13,Mobile,1,0
32,2,Email,11.57,133.4,0,12,Mobile,0,0
42,3,Ads,15.12,180.87,1,17,Mobile,1,1
54,3,Social Media,8.08,127.64,0,6,Tablet,1,1
47,2,Organic,1.0,161.08,1,6,Tablet,1,1
21,0,Organic,7.97,147.08,1,2,Tablet,1,1
62,2,Email,8.84,5.0,0,15,Tablet,1,1
55,2,Ads,6.04,122.84,0,10,Desktop,1,1
19,3,Ads,9.59,206.49,1,3,Tablet,1,1
61,4,Social Media,8.55,141.19,0,8,Mobile,1,1
47,2,Email,10.23,134.61,0,10,Tablet,1,1
56,6,Social Media,10.06,5.0,0,8,Tablet,1,0
